init_node;term_node;capacity;length
246;1532;8400;3.8
247;1184;3733.33;0.17
248;1557;1866.67;0.26
249;252;8400;0.05
249;253;1866.67;0.14
250;504;3733.33;0.03
251;1558;2800;0.02
251;1939;2533.33;0.03
252;1299;8400;0.24
253;247;2800;0.18
253;1577;2800;0.54
254;679;2800;0.07
256;258;2800;0.03
257;924;14000;0.14
258;263;1866.67;0.1
259;260;2800;0.03
260;1951;1866.67;0.03
261;1561;8400;0.09
262;289;11200;0.04
263;264;8400;0.12
264;269;8400;3.22
265;246;8400;0.53
266;975;11200;0.1
267;284;2800;0.02
267;385;1866.67;0.02
269;261;8400;0.38
270;304;2800;0.11
271;353;8400;0.06
272;1294;8400;0.06
273;1588;8400;0.08
275;280;2800;0.05
275;282;2800;0.06
276;313;5600;0.44
278;1580;8400;0.09
279;303;8400;0.04
280;929;2800;0.13
281;1082;2800;0.11
282;472;2800;0.11
283;886;3733.33;0.04
284;308;2800;0.23
285;286;7600;0.03
286;287;7600;0.07
287;288;1866.67;0.13
287;293;5066.67;0.16
289;290;11200;0.04
290;1653;5600;0.04
291;298;5066.67;0.06
293;295;7600;0.07
294;1898;5600;0.4
296;500;7600;0.1
297;358;7600;0.06
298;316;2533.33;0.17
298;613;2800;0.29
300;305;1866.67;0.05
301;674;2800;0.28
302;328;5600;0.15
303;1122;11200;0.09
304;409;8400;0.09
305;299;1866.67;0.05
306;1506;2533.33;0.32
307;303;2800;0.06
308;355;2533.33;0.03
309;1480;2533.33;0.74
310;267;2800;0.02
310;385;2800;0.03
311;310;2800;0.37
311;360;5600;0.01
312;317;2800;0.34
313;1589;5600;0.02
314;933;1866.67;0.02
315;1915;1866.67;0.03
317;318;2800;0.08
318;319;2800;0.02
319;321;8400;0.04
320;311;8400;0.05
321;325;5600;0.05
322;323;8400;0.05
323;1323;8400;0.06
324;322;5600;0.08
326;320;5600;0.04
331;337;5066.67;0.03
331;556;2800;0.21
332;953;5066.67;0.03
335;470;3733.33;0.06
336;1371;1866.67;0.02
337;333;5066.67;0.24
338;618;2800;0.28
339;343;2800;0.07
340;338;5066.67;0.07
341;345;5066.67;0.02
342;331;7600;0.15
343;341;7600;0.12
344;347;7600;0.08
345;549;5066.67;0.44
346;342;5066.67;0.08
347;346;5066.67;0.19
347;526;2800;0.75
348;501;5066.67;0.1
349;368;5600;0.08
350;403;11200;0.2
351;356;1866.67;0.01
351;357;1866.67;0.02
351;1601;2533.33;0.02
353;930;5600;0.09
353;1569;2800;0.37
354;1705;5066.67;0.07
355;580;8400;0.07
357;1591;2533.33;0.07
358;359;5066.67;0.07
359;296;5066.67;0.07
360;355;5600;0.1
361;267;1866.67;0.02
361;284;2800;0.04
362;1970;3733.33;0.62
364;1945;2800;0.05
365;1954;2800;0.08
366;367;8400;0.08
366;936;2800;0.39
367;973;8400;0.11
369;375;2800;0.06
369;1789;2800;0.03
370;1413;2800;0.2
371;402;2533.33;0.09
372;1763;2800;0.49
373;374;2800;0.03
373;1785;2533.33;0.04
374;372;2800;0.05
375;1785;2533.33;0.11
376;377;2800;0.31
376;1760;2533.33;0.15
377;1784;2800;0.05
377;1785;2800;0.04
378;365;2800;0.03
378;379;1866.67;0.17
379;364;2800;0.03
379;378;1866.67;0.18
379;1957;1866.67;0.17
380;381;5600;0.06
381;1668;1866.67;0.05
383;1955;3733.33;1.2
383;1968;3733.33;0.41
384;1949;2533.33;0.05
385;392;1866.67;0.05
386;267;1866.67;0.07
387;1969;1866.67;0.44
388;661;1866.67;0.02
388;1962;3733.33;0.02
389;390;2533.33;0.01
391;1953;2800;0.06
392;394;1866.67;0.19
393;398;3733.33;0.08
394;312;2800;0.03
394;399;2533.33;0.01
395;1020;1866.67;0.1
396;399;2800;0.02
397;1127;2800;0.07
398;393;3733.33;0.07
399;312;2800;0.02
399;386;2533.33;0.23
399;401;2533.33;0.01
401;432;2533.33;0.03
402;405;2533.33;0.04
403;428;10133.3;0.12
404;968;2533.33;0.01
405;407;1866.67;0.16
406;1587;5600;0.04
407;408;1866.67;0.1
408;1659;2800;0.01
409;413;8400;0.17
410;272;5600;0.09
411;405;2800;0.09
412;1659;5600;0.31
413;271;8400;0.08
414;412;5600;0.48
415;410;5600;0.25
416;1679;2800;0.26
417;429;1866.67;0.06
420;421;2533.33;0.02
421;571;5600;0.3
422;343;5066.67;0.28
423;883;5066.67;0.04
425;297;8400;0.03
426;1040;2800;0.28
427;503;1866.67;0.02
428;444;10133.3;0.12
429;950;1866.67;0.52
431;681;2800;0.14
433;1605;5066.67;0.3
434;1150;3733.33;0.73
435;497;5066.67;0.03
436;908;2533.33;0.47
437;397;1866.67;0.14
437;690;5066.67;0.03
438;1271;8400;0.12
439;1643;5066.67;0.13
439;1644;5600;0.04
441;440;3733.33;0.02
441;443;3733.33;0.04
443;483;5066.67;0.05
443;1283;1866.67;0.23
445;1603;2800;0.16
446;453;3733.33;0.05
447;599;3733.33;0.18
447;1880;7600;0.04
448;884;5600;0.16
448;1800;5600;0.1
449;1446;5600;0.04
450;1106;2800;0.01
451;1405;5066.67;0.08
452;411;2800;0.2
452;1404;4000;0.37
453;456;5600;0.08
454;467;5600;0.03
454;606;1866.67;0.03
455;763;5066.67;0.03
456;1204;7466.67;0.05
457;479;7600;0.04
458;449;7600;0.02
458;873;5066.67;0.02
460;974;5066.67;0.06
461;477;2800;0.49
461;701;5600;0.87
462;1207;2800;0.05
463;465;8400;0.08
464;642;2533.33;0.21
465;476;8400;0.02
466;1704;8400;0.1
467;488;3733.33;0.02
468;494;2533.33;0.03
468;901;2533.33;0.01
469;1010;5066.67;0.04
470;787;3733.33;0.09
470;1830;5066.67;0.15
471;1006;2800;0.06
472;1518;5600;0.26
474;475;3733.33;0.04
475;487;3733.33;0.05
476;478;11200;0.04
477;463;2800;0.08
478;600;8400;0.11
478;1922;2800;0.15
479;759;7600;0.07
480;482;2800;0.22
480;777;5066.67;0.05
481;652;2533.33;0.04
482;481;5066.67;0.06
483;1239;5066.67;0.09
483;1633;2800;0.21
484;1093;2800;0.12
485;848;5600;0.03
487;649;3733.33;0.07
489;471;2800;0.04
489;998;2533.33;0.05
490;1007;2800;0.55
490;1017;2800;0.11
491;998;2800;0.14
494;583;5066.67;0.09
495;750;5066.67;0.37
496;399;2533.33;0.02
497;436;5066.67;0.29
499;250;7600;0.05
500;512;5066.67;0.32
501;329;10133.3;0.15
504;430;5066.67;0.04
505;506;5066.67;0.29
506;508;5066.67;0.06
507;510;2800;0.1
508;1836;5066.67;0.41
509;501;5066.67;0.05
510;511;2800;0.03
511;509;8400;0.2
516;517;2533.33;0.01
518;519;2533.33;0.02
519;1171;2533.33;0.01
520;521;2533.33;0.01
520;523;2533.33;0.02
521;523;2533.33;0.01
521;1193;2533.33;0.01
521;1198;2533.33;0.04
522;1244;2533.33;0.06
523;522;2533.33;0.03
524;1219;2800;0.07
524;1590;2800;0.39
525;1875;2800;0.38
526;529;10133.3;0.09
527;528;7600;0.1
528;532;5066.67;0.04
529;421;5066.67;0.04
529;527;5066.67;0.05
529;547;5066.67;0.28
530;526;7600;0.02
531;587;3733.33;0.44
531;1215;3733.33;0.14
532;423;5066.67;0.01
532;530;5066.67;0.09
533;536;5066.67;0.06
535;533;5066.67;1.08
537;538;5066.67;0.03
537;542;2533.33;0.02
538;535;5066.67;0.26
538;541;2533.33;0.02
538;545;5066.67;0.02
539;541;5066.67;0.07
540;545;2533.33;0.02
541;538;5066.67;0.02
541;540;1866.67;0.02
541;544;2533.33;0.07
542;543;1866.67;0.01
543;541;1866.67;0.01
546;566;3733.33;0.68
548;344;5066.67;0.08
549;550;5066.67;1
550;551;5066.67;0.07
551;552;5066.67;0.02
552;553;7600;0.04
553;554;7600;0.06
553;558;1866.67;0.04
554;555;7600;0.03
555;557;1866.67;0.03
555;593;5066.67;0.05
556;527;2800;0.15
557;573;1866.67;0.15
560;548;5066.67;1
562;563;2533.33;0.04
563;559;7600;0.12
564;569;5066.67;0.13
565;416;2800;0.23
566;709;3733.33;0.34
567;572;3733.33;0.07
568;1430;2800;0.14
569;568;2800;0.05
569;895;2533.33;0.07
572;1349;3733.33;0.07
573;574;1866.67;0.16
574;575;3733.33;0.07
575;1910;3733.33;0.29
576;563;5066.67;0.13
577;1574;8400;2.72
580;1913;8400;0.05
582;894;2800;0.08
582;895;2800;0.05
583;588;2800;0.02
583;895;2533.33;0.05
584;1816;8400;0.07
585;590;7600;0.08
586;531;3733.33;0.43
588;1424;2800;0.31
589;1989;2800;0.03
590;1359;8400;0.07
591;426;2800;0.04
591;1989;2533.33;0.03
593;595;5066.67;0.13
594;597;5066.67;0.03
594;1389;5600;0.05
597;1464;5066.67;0.08
598;872;5066.67;0.02
599;1105;3733.33;0.48
600;1626;2800;0.05
600;1627;5600;0.05
601;1860;5066.67;0.02
603;604;2800;0.07
604;701;5600;0.34
605;1630;2800;0.22
607;714;8400;0.06
607;1634;2800;0.03
608;262;8400;0.08
609;1057;2800;0.47
612;340;2800;0.28
612;625;2533.33;0.13
613;617;1866.67;0.01
614;616;7600;0.06
615;433;5600;0.16
616;630;7600;0.05
617;612;5066.67;0.06
618;619;5066.67;0.05
619;291;2800;0.31
619;674;2533.33;0.14
620;615;5600;0.05
620;1611;5066.67;0.16
622;577;8400;0.22
623;1609;8400;0.05
624;1055;8400;0.1
626;627;2800;0.02
627;628;2800;0.02
628;614;7600;0.02
630;631;2800;0.03
630;634;5066.67;0.01
631;632;2800;0.03
632;1608;2800;0.33
633;625;1866.67;0.03
634;1034;5066.67;0.09
636;637;2533.33;0.07
637;638;2800;0.03
637;1937;2533.33;0.15
638;641;2800;0.21
639;1610;2800;0.04
640;642;5066.67;0.01
641;1610;2800;0.03
642;640;5066.67;0.01
643;1055;2533.33;0.01
644;646;11200;0.12
645;863;2800;0.17
646;266;11200;0.06
647;1392;3733.33;0.01
648;1646;2800;0.14
649;647;3733.33;0.04
650;683;2800;0.07
650;1635;8400;0.06
651;855;5600;0.03
651;874;2533.33;0.02
653;667;8400;0.08
655;653;8400;0.06
656;668;2533.33;0.03
656;684;5600;0.33
657;1045;5600;0.19
658;1188;3733.33;0.04
658;1667;14000;0.1
659;1937;2800;0.03
660;259;2800;0.27
661;387;1866.67;0.48
662;624;8400;0.16
662;672;2800;0.09
663;623;8400;0.1
663;664;2800;0.04
664;665;2800;0.03
665;666;2800;0.04
666;1614;5600;0.11
667;657;5600;0.03
667;1929;2533.33;0.03
668;618;2533.33;0.15
669;685;2800;0.06
671;316;2800;0.5
671;617;2533.33;0.17
671;635;5600;0.23
672;639;2800;0.21
672;1604;2800;0.13
673;680;2533.33;0.06
674;684;5600;0.04
675;655;8400;0.02
676;274;2800;0.03
676;686;8400;0.12
677;678;3733.33;0.14
678;1300;3733.33;0.03
679;673;2800;0.03
680;1598;2533.33;0.03
681;675;8400;0.26
682;758;5066.67;0.05
683;687;5600;0.04
686;696;11200;0.08
687;689;5600;0.04
688;248;2533.33;0.02
688;934;2800;0.02
689;437;5600;0.03
690;691;5066.67;0.02
691;692;5066.67;0.02
693;694;11200;0.04
694;695;11200;0.05
695;699;2800;0.06
695;704;8400;0.06
697;1927;1866.67;0.5
698;702;11200;0.4
699;708;2800;0.03
700;633;2800;0.24
701;1628;11200;0.52
702;706;14000;0.19
703;1636;2800;0.03
704;1636;8400;0.06
705;1153;2800;0.17
706;707;14000;0.04
707;710;5066.67;0.06
707;1828;8400;0.08
708;711;5600;0.11
709;532;5066.67;0.07
710;713;2533.33;0.06
710;1351;2800;0.08
