Estad¡sticas de interfaz;Recibidos;Enviados
Bytes;3464415114;181741578
Paquetes de unidifusi¢n;13901607;13208688
Paquetes no de unidifusi¢n;40248;26658
Descartados;0;0
Errores;0;0
Protocolos desconocidos;0
Estad¡sticas de interfaz;Recibidos;Enviados
Bytes;3464417130;181748769
Paquetes de unidifusi¢n;13901643;13208805
Paquetes no de unidifusi¢n;40248;26658
Descartados;0;0
Errores;0;0
Protocolos desconocidos;0
Estad¡sticas de interfaz;Recibidos;Enviados
Bytes;3464420802;181754988
Paquetes de unidifusi¢n;13901697;13208904
Paquetes no de unidifusi¢n;40248;26658
Descartados;0;0
Errores;0;0
Protocolos desconocidos;0
Estad¡sticas de interfaz;Recibidos;Enviados
Bytes;3464427228;181759767
Paquetes de unidifusi¢n;13901778;13208985
Paquetes no de unidifusi¢n;40257;26658
Descartados;0;0
Errores;0;0
Protocolos desconocidos;0
Estad¡sticas de interfaz;Recibidos;Enviados
Bytes;3464443572;181780611
Paquetes de unidifusi¢n;13901976;13209156
Paquetes no de unidifusi¢n;40257;26658
Descartados;0;0
Errores;0;0
Protocolos desconocidos;0
Estad¡sticas de interfaz;Recibidos;Enviados
Bytes;3464448684;181790961
Paquetes de unidifusi¢n;13902039;13209255
Paquetes no de unidifusi¢n;40275;26748
Descartados;0;0
Errores;0;0
Protocolos desconocidos;0
Estad¡sticas de interfaz;Recibidos;Enviados
Bytes;3464548656;181797261
Paquetes de unidifusi¢n;13902066;13209300
Paquetes no de unidifusi¢n;40482;26820
Descartados;0;0
Errores;0;0
Protocolos desconocidos;0
Estad¡sticas de interfaz;Recibidos;Enviados
Bytes;3464554209;181805631
Paquetes de unidifusi¢n;13902138;13209390
Paquetes no de unidifusi¢n;40482;26874
Descartados;0;0
Errores;0;0
Protocolos desconocidos;0
Estad¡sticas de interfaz;Recibidos;Enviados
Bytes;3464624895;181844493
Paquetes de unidifusi¢n;13902255;13209534
Paquetes no de unidifusi¢n;40482;26874
Descartados;0;0
Errores;0;0
Protocolos desconocidos;0
Estad¡sticas de interfaz;Recibidos;Enviados
Bytes;3464628981;181851585
Paquetes de unidifusi¢n;13902300;13209633
Paquetes no de unidifusi¢n;40491;26901
Descartados;0;0
Errores;0;0
Protocolos desconocidos;0
Estad¡sticas de interfaz;Recibidos;Enviados
Bytes;3464641338;181878819
Paquetes de unidifusi¢n;13902435;13209840
Paquetes no de unidifusi¢n;40491;26964
Descartados;0;0
Errores;0;0
Protocolos desconocidos;0
Estad¡sticas de interfaz;Recibidos;Enviados
