codigo_cuoc_2022;denominacion_cuoc_2022
0;FUERZAS MILITARES
01;OFICIALES DE LAS FUERZAS MILITARES  
011;Oficiales de las Fuerzas Militares
0110;Oficiales de las fuerzas militares
01100;Oficiales de las fuerzas militares
01100.001;Almirante
01100.002;Almirante de la armada nacional
01100.003;Brigadier general
01100.004;Brigadier general de infantería de marina
01100.005;Brigadier general del ejercito nacional
01100.006;Brigadier general fuerza aérea
01100.007;Cadete de la fuerza aérea
01100.008;Cadete de las fuerzas armadas
01100.009;Cadete del ejercito nacional
01100.010;Capitán de corbeta de la armada nacional
01100.011;Capitán de fragata de la armada nacional
01100.012;Capitán de infantería de marina
01100.013;Capitán de la fuerza aérea
01100.014;Capitán de navío de la armada nacional
01100.015;Capitán del ejército nacional
01100.016;Comandante armada
01100.017;Comandante base armada
01100.018;Comandante batallón ejército
01100.019;Comandante brigada armada
01100.020;Comandante brigada ejército
01100.021;Comandante ejército
01100.022;Comandante fuerza aérea
01100.023;Comandante unidad ejército
01100.024;Comandante unidad fuerza aérea
01100.025;Contralmirante
01100.026;Contralmirante de la armada nacional
01100.027;Coronel de infantería de marina
01100.028;Coronel del ejército nacional
01100.029;Coronel fuerza aérea
01100.030;General de infantería de marina
01100.031;General del ejército nacional
01100.032;General fuerza aérea
01100.033;Guardiamarina
01100.034;Mayor
01100.035;Mayor de infantería de marina
01100.036;Mayor de la fuerza aérea
01100.037;Mayor del ejército nacional
01100.038;Mayor general
01100.039;Mayor general de infantería de marina
01100.040;Mayor general del ejército nacional
01100.041;Mayor general fuerza aérea
01100.042;Oficial de la armada nacional
01100.043;Oficial del ejército nacional
01100.044;Oficial fuerza aérea
01100.045;Oficial fuerzas militares
01100.046;Segundo comandante ejército nacional
01100.047;Segundo comandante fuerza aérea colombiana
01100.048;Subcomandante armada nacional
01100.049;Subteniente de infantería de marina
01100.050;Subteniente del ejército nacional
01100.051;Subteniente fuerza aérea
01100.052;Teniente coronel de infantería de marina
01100.053;Teniente coronel de la fuerza aérea
01100.054;Teniente coronel del ejército nacional
01100.055;Teniente de corbeta de la armada nacional
01100.056;Teniente de fragata de la armada nacional
01100.057;Teniente de infantería de marina
01100.058;Teniente de navío de la armada nacional
01100.059;Teniente del ejército nacional
01100.060;Teniente fuerza aérea
01100.061;Vicealmirante
01100.062;Vicealmirante de la armada nacional
01100.063;Comandante general de las fuerzas militares
01100.064;Jefe de estado mayor conjunto de las fuerzas militares
02;SUBOFICIALES DE LAS FUERZAS MILITARES  
021;Suboficiales de las Fuerzas Militares
0210;Suboficiales de las fuerzas militares
02100;Suboficiales de las fuerzas militares
02100.001;Aerotécnico de la fuerza aérea
02100.002;Cabo primero de infantería de marina
02100.003;Cabo primero del ejército nacional
02100.004;Cabo segundo de infantería de marina
02100.005;Cabo segundo del ejército nacional
02100.006;Cabo tercero de infantería de marina
02100.007;Cabo tercero del ejército nacional
02100.008;Contramaestre de marina
02100.009;Contramaestre militar
02100.010;Marinero de la armada
02100.011;Marinero primero de la armada nacional
02100.012;Marinero segundo de la armada nacional
02100.013;Sargento del ejército
02100.014;Sargento mayor de comando conjunto de infantería de marina
02100.015;Sargento mayor de comando conjunto del ejército nacional
02100.016;Sargento mayor de comando de infantería de marina
02100.017;Sargento mayor de comando del ejército
02100.018;Sargento mayor de infantería de marina
02100.019;Sargento mayor del ejército nacional
02100.020;Sargento primero de infantería de marina
02100.021;Sargento primero del ejército nacional
02100.022;Sargento segundo de infantería de marina
02100.023;Sargento segundo del ejército nacional
02100.024;Sargento viceprimero del ejército nacional
02100.025;Suboficial de la armada
02100.026;Suboficial de la fuerza aérea
02100.027;Suboficial de las fuerzas militares
02100.028;Suboficial del ejército
02100.029;Suboficial jefe de la armada nacional
02100.030;Suboficial jefe técnico de comando conjunto de la armada nacional
02100.031;Suboficial jefe técnico de comando de la armada nacional
02100.032;Suboficial jefe técnico de la armada nacional
02100.033;Suboficial primero de la armada nacional
02100.034;Suboficial segundo de la armada nacional
02100.035;Suboficial tercero de la armada nacional
02100.036;Técnico cuarto de la fuerza aérea
02100.037;Técnico jefe de comando conjunto de la fuerza aérea
02100.038;Técnico jefe de comando de las fuerzas armadas
02100.039;Técnico jefe de la fuerza aérea
02100.040;Técnico primero de la fuerza aérea
02100.041;Técnico segundo de la fuerza aérea
02100.042;Técnico subjefe de la fuerza aérea
02100.043;Técnico tercero de la fuerza aérea
03;OTROS MIEMBROS DE LAS FUERZAS MILITARES
031;Otros miembros de las Fuerzas Militares
0310;Otros miembros de las fuerzas militares
03100;Otros miembros de las fuerzas militares
03100.001;Alumno de infantería de marina
03100.002;Artillero
03100.003;Bombardero
03100.004;Dragoneante
03100.005;Grumete
03100.006;Grumete infantería de marina
03100.007;Infante de marina
03100.008;Infante de marina profesional
03100.009;Infante de marina regular
03100.010;Operador de radio militar
03100.011;Soldado
03100.012;Soldado bachiller
03100.013;Soldado campesino
03100.014;Soldado de infantería
03100.015;Soldado ejército
03100.016;Soldado fuerza aérea
03100.017;Soldado profesional
03100.018;Soldado profesional armada
03100.019;Soldado profesional del ejército nacional
03100.020;Soldado recluta
03100.021;Soldado regular
03100.022;Soldado regular del ejército nacional
03100.023;Soldado regular fuerza aérea
1;DIRECTORES Y GERENTES
11;DIRECTORES EJECUTIVOS, PERSONAL DIRECTIVO DE LA ADMINISTRACIÓN Y LEGISLATIVOS
111;Miembros del poder ejecutivo y de los cuerpos legislativos
1111;Directores formuladores y ejecutores de políticas y normas
11110;Directores formuladores y ejecutores de políticas y normas
11110.001;Alcalde
11110.002;Canciller
11110.003;Concejal
11110.004;Congresista
11110.005;Diputado
11110.006;Edil
11110.007;Gobernador
11110.008;Gobernador de departamento
11110.009;Jefe de estado
11110.010;Legislador
11110.011;Miembro de gobiernos locales
11110.012;Miembro de la asamblea legislativa
11110.013;Miembro del consejo legislativo
11110.014;Miembro del parlamento
11110.015;Miembro del poder ejecutivo
11110.016;Miembro del poder ejecutivo y legislativo
11110.017;Miembro del poder legislativo
11110.018;Ministro de gobierno
11110.019;Ministro de relaciones exteriores
11110.020;Parlamentario
11110.021;Presidente de la república
11110.022;Representante de la cámara
11110.023;Senador
11110.024;Viceministro de gobierno
11110.025;Vicepresidente de la república
1112;Directores del gobierno
11120;Directores del gobierno
11120.001;Administrador general administración pública
11120.002;Agregado de prensa
11120.003;Agregado diplomático
11120.004;Alguacil jefe de policía
11120.005;Alto comisionado
11120.006;Brigadier general policía nacional
11120.007;Comisionado de bomberos
11120.008;Comisionado de la función pública
11120.009;Consejero de estado
11120.010;Cónsul
11120.011;Contador general de la nación
11120.012;Contralor general de la nación
11120.013;Contralor general de la república
11120.014;Director aduana servicios gubernamentales
11120.015;Director de asuntos intergubernamentales
11120.016;Director de departamento administrativo nacional
11120.017;Director de impuestos nacionales
11120.018;Director de programas de desarrollo económico de servicios gubernamentales
11120.019;Director de programas de política educativa de servicios gubernamentales
11120.020;Director de relaciones intergubernamentales
11120.021;Director ejecutivo administración pública ministerio
11120.022;Director ejecutivo administración pública regional
11120.023;Director ejecutivo de administración pública
11120.024;Director ejecutivo de cancillería
11120.025;Director ejecutivo de servicios gubernamentales
11120.026;Director general de administración pública
11120.027;Director general de departamento gubernamental
11120.028;Director general de impuestos y aduanas
11120.029;Director general de organización intergubernamental
11120.030;Director general de servicios gubernamentales
11120.031;Director general impuestos
11120.032;Director políticas y programas administración pública
11120.033;Director unidad administrativa especial
11120.034;Director unidad nacional de bomberos
11120.035;Embajador
11120.036;Fiscal general de la nación
11120.037;Gerente general de servicios gubernamentales
11120.038;Inspector general de la policía
11120.039;Jefe departamento administración pública
11120.040;Mayor general policía nacional
11120.041;Personal directivo de la administración pública
11120.042;Personero
11120.043;Procurador general de la nación
11120.044;Registrador nacional del estado civil
11120.045;Secretario de estado
11120.046;Secretario general de administración pública
11120.047;Subsecretario de gobierno
11120.048;Superintendente nacional
11120.049;Tesorero general de la nación
11120.050;Tesorero general de la república
11120.051;Vicecontralor
1113;Jefes de comunidades étnicas
11130;Jefes de comunidades étnicas
11130.001;Gobernador de comunidad indígena
11130.002;Jefe de comunidad indígena
11130.003;Jefe de etnia indígena
11130.004;Jefe de pueblo
11130.005;Jefe tradicional de pequeña población
1114;Dirigentes de organizaciones con un interés específico (partidos políticos, sindicatos y organizaciones sociales)
11140;Dirigentes de organizaciones con un interés específico (partidos políticos, sindicatos y organizaciones sociales)
11140.001;Defensor del pueblo
11140.002;Director asociación de profesionales
11140.003;Director asociación deportiva
11140.004;Director de establecimiento adaptación social
11140.005;Director de organización electoral
11140.006;Director de organización no gubernamental
11140.007;Director de partido político
